yr_mfr,fuel_type,kms_run,sale_price,body_type,transmission,registered_state,make,model,total_owners,original_price,car_rating,warranty_avail
2017,2,27711,739899,3,1,3,1,115,1,784833.0,1,2
2009,1,79226,198799,1,1,3,1,104,1,213413.0,1,2
2016,1,54854,268299,1,1,1,2,44,1,288599.0,2,2
2011,1,73397,285499,1,1,3,2,60,1,355277.0,1,2
2011,1,73453,221699,1,1,1,2,59,1,270330.0,1,2
2015,2,53523,516999,1,1,3,2,42,1,603009.0,1,2
2009,1,72093,256999,2,1,1,4,27,1,527424.0,1,2
2015,1,55683,556499,1,1,3,2,42,1,603009.0,1,2
2016,2,51803,574899,2,1,3,4,27,2,598403.0,1,2
2013,1,61470,336199,1,1,1,1,104,1,467108.0,1,2
2007,1,95040,149199,1,1,3,1,104,1,185745.0,2,2
2014,1,64348,413499,2,1,3,2,123,1,466299.0,1,2
2016,1,43864,486899,1,1,3,1,16,1,495000.0,1,2
2017,1,65194,459499,1,1,3,2,56,1,488119.5,1,2
2010,1,66292,224399,1,1,3,2,59,1,297907.5,2,2
2018,2,14337,1010806,3,2,3,1,115,1,1042014.0,1,2
2008,1,91018,126699,1,1,1,2,98,1,242799.0,2,2
2011,1,62890,238499,1,1,1,11,84,3,511273.0,2,2
2018,2,21843,783599,3,1,3,1,115,2,833470.0,1,2
2018,2,17350,921299,3,2,1,1,115,1,974525.0,1,2
2010,1,89560,305499,2,1,1,4,27,1,527424.0,1,2
2011,3,66094,242799,1,1,1,1,117,1,342471.0,2,2
2019,2,26930,796099,3,1,1,1,115,1,985423.0,1,2
2011,1,118427,177299,1,1,1,1,11,1,300764.0,1,2
2014,2,79144,381099,1,1,3,1,104,1,449346.0,1,2
2013,2,68546,353499,1,1,3,1,104,1,369999.0,1,2
2018,3,77097,338099,1,1,3,1,117,2,342471.0,1,2
2015,2,70952,446499,1,1,3,1,104,1,546600.0,1,2
2013,1,63628,225399,1,1,3,2,44,1,288599.0,2,2
2009,1,94856,203799,1,1,3,2,60,2,355277.0,1,2
2016,1,84427,435399,1,1,1,4,66,1,507260.0,1,2
2011,2,114464,235099,2,1,3,7,46,1,307028.0,1,2
2012,2,78059,549699,3,1,3,7,64,1,621403.0,1,1
2012,1,99207,192799,1,1,1,1,10,1,304299.0,2,2
2015,2,85657,429599,3,1,3,1,93,1,512915.0,1,2
2009,1,133401,198399,2,1,3,1,105,1,451699.0,1,2
2014,2,83368,360999,1,1,3,1,104,1,389000.0,1,2
2014,1,86132,390399,2,2,1,4,12,1,397631.0,1,2
